split,symbol,side,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,btcusdt,buy,30,105263318,343221630216.49384,-0.23359619755463643,-0.26575793115284596
train,btcusdt,sell,30,106083728,347838206331.5754,0.02152165590120143,-0.18618158383118028
train,btcusdt,buy,120,105264142,343203827611.3676,-0.04705932692090164,-0.11388510398407983
train,btcusdt,sell,120,106078253,347790281957.7763,0.05606216170493034,-0.23894131323802684
train,btcusdt,buy,300,105272115,343249301451.38934,0.338131091637236,0.17407721155632463
train,btcusdt,sell,300,106089556,347856670299.4255,-0.2635431527846828,-0.5223843479358277
validation,btcusdt,buy,30,95070810,204413814678.68893,-0.2182524436970983,-0.21600924895371895
validation,btcusdt,sell,30,95425707,205863315941.1372,-0.15757296316295155,-0.31043242357116163
validation,btcusdt,buy,120,95070846,204414664367.5615,0.02810167894602463,0.0010679927822551459
validation,btcusdt,sell,120,95425594,205863881688.97882,-0.37528062568517706,-0.5019294425452249
validation,btcusdt,buy,300,95066763,204404890412.78705,0.2903301623201716,0.33946226748483954
validation,btcusdt,sell,300,95423900,205861618868.10822,-0.5979914218575815,-0.7167825342083162
train,ethusdt,buy,30,193987393,335498894688.5439,-0.254847150484165,-0.22023252838672672
train,ethusdt,sell,30,194846574,340920320846.886,0.18280778719316623,-0.10441849356014621
train,ethusdt,buy,120,193983837,335483765463.70636,-0.23821036758053013,-0.046829149620205374
train,ethusdt,sell,120,194840621,340885043337.1667,0.45136862359806956,-0.14533501677935431
train,ethusdt,buy,300,193983451,335480904319.4603,0.22550919082715454,0.37324846704502906
train,ethusdt,sell,300,194827230,340846877236.09705,0.14879403178343956,-0.5050482255374398
validation,ethusdt,buy,30,158335954,174764149183.5871,-0.08831316459297228,-0.1544928940261451
validation,ethusdt,sell,30,158535308,175625729837.4962,0.32533272672096814,-0.1424752927008469
validation,ethusdt,buy,120,158334331,174758342071.4738,0.25428452847148586,-0.008690606687946785
validation,ethusdt,sell,120,158537817,175627512256.03064,0.013010188790447857,-0.33217562447552273
validation,ethusdt,buy,300,158333282,174757476837.42728,0.753097453086583,0.22280740215587336
validation,ethusdt,sell,300,158534270,175623969415.27335,-0.27980597191530115,-0.4142171529658058
