horizon_seconds,horizon_events,distance_ticks,crossing_probability,intensity_per_second,k_fit
1.0,2,0,0.8078147366471562,1.6492954588878816,0.06374916645788453
1.0,2,1,0.770324913090282,1.471089634421639,0.06374916645788453
1.0,2,2,0.7474467255967929,1.376133064786031,0.06374916645788453
1.0,2,3,0.7248559864494148,1.290460632752544,0.06374916645788453
1.0,2,5,0.6718960401578844,1.1144247700781102,0.06374916645788453
1.0,2,8,0.5801498589766839,0.8678574384628605,0.06374916645788453
1.0,2,13,0.42824208938293135,0.559039610377726,0.06374916645788453
1.0,2,21,0.2608449052192131,0.3022475089025367,0.06374916645788453
1.0,2,34,0.12275973562468892,0.13097436247117702,0.06374916645788453
1.0,2,55,0.0365946823985153,0.03728106518168903,0.06374916645788453
1.0,2,89,0.006211970969646226,0.0062313455391592104,0.06374916645788453
2.5,5,0,0.9530646222347405,1.2235934258142773,0.04883785838369753
2.5,5,1,0.938184743542503,1.113442030696462,0.04883785838369753
2.5,5,2,0.9290712277973805,1.058431645561999,0.04883785838369753
2.5,5,3,0.9195545103607401,1.0080701885055257,0.04883785838369753
2.5,5,5,0.8936396380059072,0.8963689236533943,0.04883785838369753
2.5,5,8,0.8369791897768115,0.725550966497438,0.04883785838369753
2.5,5,13,0.7134161986761866,0.4998897141358259,0.04883785838369753
2.5,5,21,0.5307040981882932,0.3026087155101551,0.04883785838369753
2.5,5,34,0.3258969308441577,0.1577489032659761,0.04883785838369753
2.5,5,55,0.1466882479246688,0.06345212841326836,0.04883785838369753
2.5,5,89,0.04084298091447687,0.016680194159857588,0.04883785838369753
5.0,10,0,0.9918413569314705,0.961735482891064,0.036016928125158644
5.0,10,1,0.9875218483406837,0.8767552062461637,0.036016928125158644
5.0,10,2,0.9849289856582283,0.8389963919862483,0.036016928125158644
5.0,10,3,0.9821972196177843,0.8056801265268335,0.036016928125158644
5.0,10,5,0.9735832822091808,0.7267516439191157,0.036016928125158644
5.0,10,8,0.9504848113036466,0.601095162824681,0.036016928125158644
5.0,10,13,0.8828099377635787,0.42879163972779366,0.036016928125158644
5.0,10,21,0.7462910874203718,0.27431353652103985,0.036016928125158644
5.0,10,34,0.5422980017208583,0.15630739308348146,0.036016928125158644
5.0,10,55,0.3118689060974716,0.07475518314738319,0.036016928125158644
5.0,10,89,0.12310695944407789,0.026274050929066546,0.036016928125158644
10.0,19,0,0.9992070795640674,0.7139787674361103,0.028554242352076292
10.0,19,1,0.9985299139363001,0.6522434333170649,0.028554242352076292
10.0,19,2,0.9979646446230926,0.6197084842947131,0.028554242352076292
10.0,19,3,0.9976578943814546,0.6056704917237901,0.028554242352076292
10.0,19,5,0.9962939168919063,0.5597779726088781,0.028554242352076292
10.0,19,8,0.9908399361805158,0.4692902133127771,0.028554242352076292
10.0,19,13,0.9670195259068907,0.3411839586783923,0.028554242352076292
10.0,19,21,0.8958380358724151,0.22618082438680132,0.028554242352076292
10.0,19,34,0.7441510060057454,0.1363167875752624,0.028554242352076292
10.0,19,55,0.5186317009976136,0.07311226074791176,0.028554242352076292
10.0,19,89,0.26943667922606335,0.03139393701326176,0.028554242352076292
30.0,58,0,0.9999768472963431,0.3557799665204905,0.018176377687953358
30.0,58,1,0.9999247537131148,0.3164914666423864,0.018176377687953358
30.0,58,2,0.999874589521858,0.29946394585017694,0.018176377687953358
30.0,58,3,0.9998630131700296,0.2965208589453259,0.018176377687953358
30.0,58,5,0.9998514368182011,0.29381667411825124,0.018176377687953358
30.0,58,8,0.9997839080992016,0.28132689247020265,0.018176377687953358
30.0,58,13,0.9991066915172353,0.23401928637717045,0.018176377687953358
30.0,58,21,0.9925679821261127,0.16339859574944265,0.018176377687953358
30.0,58,34,0.9555853968180468,0.10380623210418088,0.018176377687953358
30.0,58,55,0.850271465450378,0.06329771313889025,0.018176377687953358
30.0,58,89,0.6406893331635468,0.034118929915858284,0.018176377687953358
